"","mod_Hepatocyte1","mod_Cholangiocyte1","mod_T_pan1","mod_T_CD81","mod_T_CD41","mod_T_Treg1","mod_NK1","mod_B_cell1","mod_Plasma1","mod_Macrophage_Kupffer1","mod_Monocyte1","mod_DC1","mod_Endothelial1","mod_Fibroblast_HSC1","mod_Cycling1"
"0",0.877083590424253,-0.0117174117273411,0.109711328384557,0.100149821232786,0.10676099326763,0.0758031914100858,0.17089192380807,0.035706018436015,0.0627795045122461,0.0159254894780869,-0.0148013311158244,-0.0141843159331062,-0.124589576002355,0.0268791776733958,0.0336022423672802
"1",1.03439643731655,0.0132165021527788,-0.191327927627372,-0.0958029262726047,-0.185643524816481,-0.0472332351432294,-0.1807655725952,-0.0249406046326883,-0.052076389332694,-0.171998695035222,-0.142811930509322,-0.0357052415203365,-0.250965441320629,-0.0627462803165698,0.123304947690146
"2",0.223224886450454,-0.0205523880451809,-0.14328280516032,-0.0584094623052359,0.0125387184547267,0.00547709045837568,-0.113858913592549,-0.0104313341149071,-0.10001306846616,0.549823089491065,0.132463780314146,0.0139687227573564,-0.14149973874937,-0.00822028697805477,-0.000485731992241831
"3",0.167334151816614,-0.00981211273836225,1.05844868036449,0.448848675262833,0.349233952605509,0.0704683718532376,0.777674917837578,0.0949692986517206,0.0917853599599573,-0.191568179709662,-0.0755776884305598,-0.0185464063411319,-0.115550506172153,-0.0591615858321879,-0.0291601801583703
"4",0.323338490152203,-0.0246562664136887,-0.203751383716163,-0.0904339756440976,-0.15426295094925,-0.0424940501161384,-0.132841911937015,-0.0201904825408378,-0.134154654739991,-0.22062377597233,-0.248232840554053,-0.0315419364052885,0.698292737212636,0.0601156591967852,-0.077592391004682
"5",2.40521646656587,0.115786980795193,-0.226650729108468,-0.124442391590651,-0.257147059433499,-0.0423410994333684,-0.220831830592129,-0.014923009540986,0.00551057473328768,-0.296338729386876,-0.0692293061976337,-0.0355662429246244,-0.252278497719574,-0.102846186116309,-0.0294318496979936
"6",0.00812611835662004,-0.0122361954849924,-0.152462732562157,-0.0682761871075039,0.527462527151212,-0.0128106831582376,-0.137708186888456,0.000225237175771731,-0.058280475598512,1.20477582968087,0.771824987259671,0.303365970743897,0.0952718166795719,-0.0864348796760388,-0.0996295800139395
"7",1.47823919139906,-0.00909252844999789,-0.216534518209337,-0.115848162306968,-0.222267003168591,-0.0638849108956242,-0.177272909133054,-0.0332634890684618,-0.1158606744068,-0.369546414568893,-0.244411933855585,-0.0422438083190726,-0.298286629101485,-0.0969780561354833,0.0356407369975551
"8",-0.619677032374217,-0.0248807502040239,-0.223101744603616,-0.109836987641569,-0.210523915744768,-0.0556750631003457,-0.197687432603915,-0.0238443486801438,-0.168916604153017,-0.371775756518041,-0.211432012036936,-0.0364025041896127,-0.263417742843376,-0.0735544651715088,-0.0350168129632539
"9",0.20154501493217,-0.012818931203137,-0.156215270630702,-0.0756544446049084,0.0890358200932517,-0.049291444881731,-0.135664365914546,-0.011014916792961,-0.0783735112365333,-0.237641285895226,-0.164952092220742,-0.0505284140623793,1.56269421343474,-0.050539601992372,-0.11723223878925
"10",0.466794022457984,0.0373925762622202,-0.236843528129073,-0.103577144649442,-0.17270655391242,-0.0187649366903721,-0.185776995967479,-0.0211981868336189,-0.146745337453555,-0.354559828866779,-0.277087973061797,-0.035051196356464,-0.301411762626576,-0.0703939527943259,-0.0676275041751205
"11",0.953119433151545,-0.0122616162198406,1.15215251185421,0.421835812590978,0.034965571602737,0.255298845285024,0.546625575323254,0.0150288376136329,-0.00306040574538385,-0.269414327131797,-0.159294626456369,-0.0186721320563593,-0.20460163607909,-0.0464799975759254,0.106968514050934
"12",0.304534229150165,-0.0307598220770598,-0.173130862251177,-0.0927305047480701,-0.123028378968873,-0.0461358206622666,-0.148211090321342,-0.0299248002812726,-0.0928927482700057,-0.103665816068685,-0.167058662161719,-0.0351143441612306,-0.202747116467709,1.2615992365679,-0.044287378064598
"13",0.902036239091815,0.000874730771037823,-0.120066062040337,-0.0532531001750048,-0.105812761750678,-0.0221952543415217,-0.0836530228151267,-0.0120232760611436,-0.0546023629827027,-0.269764246240754,-0.135136579787972,-0.0193871512798435,-0.194124861208707,-0.0452783679685688,-0.0539690900626386
"14",0.295435249937019,-0.0235978245998932,-0.110150953505743,-0.0875616350126078,0.0933397120389133,-0.0555666935829314,-0.130208729081171,-0.0270669354611196,-0.0679558664823361,-0.0922020062095393,-0.025861173291578,-0.0387566413900284,-0.14654743999972,2.83986292593678,-0.0954807036767514
"15",1.74569829448825,0.012729181128466,-0.285639462444561,-0.140784843159659,-0.305112439396091,-0.0544541460929877,-0.263565529149227,-0.0168280383095495,0.012701577127842,-0.310073152730778,-0.211266457615947,-0.0379612393640803,-0.284527296125866,-0.133524636692506,-0.151847128887882
"16",0.720630249437227,-0.011878479016714,-0.166452328712318,-0.0621566452189948,-0.143689094125051,-0.0297063570977887,-0.136012163432495,-0.0182196034861647,-0.0454106805541101,-0.261886323132534,-0.22539014080777,-0.0226008332107353,-0.203393747180409,-0.0759937522523492,-0.0900687602694707
"17",0.6233032078779,-0.0145057829405915,-0.197836485235165,-0.104685289053736,-0.172074338976152,-0.0353486362337017,-0.2150250830594,-0.0144584548872492,-0.188699237226118,-0.37242232966085,-0.280561216959391,-0.0149015274265234,-0.28362517165744,-0.0909229922272327,0.0990110491644171
